iter	Logloss
0	0.6350456824
1	0.5945975731
2	0.5603184541
3	0.5324362111
4	0.5092284747
5	0.4862850257
6	0.4716712785
7	0.4583861096
8	0.4463751582
9	0.4358698947
10	0.4259248103
11	0.4154128618
12	0.4079014852
13	0.3995323366
14	0.3924618353
15	0.3867291159
16	0.3810735052
17	0.3768828858
18	0.3722644998
19	0.3669677773
20	0.363733656
21	0.3583485926
22	0.3552634303
23	0.3513054118
24	0.3484227834
25	0.344379022
26	0.3412920392
27	0.3382407052
28	0.3354247822
29	0.3322867411
30	0.3287270385
31	0.3249227823
32	0.3218638521
33	0.3197358423
34	0.3177658074
35	0.3155534795
36	0.3115709243
37	0.3091831714
38	0.3075581196
39	0.3061369627
40	0.3043508338
41	0.302951055
42	0.3011986551
43	0.2992500778
44	0.2971893294
45	0.2958676003
46	0.2937639515
47	0.2921300645
48	0.2908454499
49	0.2896068059
50	0.2883727518
51	0.2872692005
52	0.2861214476
53	0.2850844782
54	0.2836626867
55	0.2820948445
56	0.2807937825
57	0.2798464546
58	0.278845306
59	0.2777245932
60	0.2768141967
61	0.275930767
62	0.2749087453
63	0.2738918602
64	0.2723000681
65	0.271320282
66	0.2704857287
67	0.2693677364
68	0.2682020802
69	0.2674885295
70	0.2663045645
71	0.2656527997
72	0.2649607335
73	0.2641628394
74	0.2629661228
75	0.2623067575
76	0.2613482849
77	0.260668431
78	0.2594430169
79	0.2585220493
80	0.2579416564
81	0.257279927
82	0.2560163917
83	0.2552143346
84	0.2538860817
85	0.2533483933
86	0.2522831608
87	0.2515462956
88	0.2508883471
89	0.2493761388
90	0.2488397557
91	0.2482583552
92	0.2475645453
93	0.2467866941
94	0.2463021472
95	0.2458109435
96	0.2445579925
97	0.2440913118
98	0.2435998283
99	0.2430452251
100	0.2425558275
101	0.2421003034
102	0.2414833496
103	0.2409600926
104	0.2404908423
105	0.2399808581
106	0.2390080347
107	0.2384626325
108	0.2380728038
109	0.2376056291
110	0.2372570303
111	0.2364477072
112	0.2360668324
113	0.2356336661
114	0.2350295649
115	0.2345862802
116	0.2340762601
117	0.233608453
118	0.2332815784
119	0.2329346157
120	0.2313151221
121	0.2310005152
122	0.2302998313
123	0.2298432625
124	0.2292551674
125	0.2288571362
126	0.2279994378
127	0.2276490996
128	0.2269883428
129	0.226356871
130	0.2259610988
131	0.2254751505
132	0.2249733722
133	0.2246399225
134	0.2243155494
135	0.2234832314
136	0.2230950892
137	0.2227673076
138	0.2223893922
139	0.2220356168
140	0.2217412674
141	0.2213568571
142	0.2210895113
143	0.2207522307
144	0.2203728638
145	0.2198868644
146	0.2195134023
147	0.2188579685
148	0.2185618205
149	0.2181938434
150	0.2178387412
151	0.2172945642
152	0.216945083
153	0.2166528568
154	0.2163563112
155	0.2159768523
156	0.215645555
157	0.2151238759
158	0.2147425189
159	0.2144679135
160	0.214063407
161	0.2137546822
162	0.2134172566
163	0.2130765418
164	0.212761668
165	0.2124159325
166	0.212117417
167	0.2118218256
168	0.2115361429
169	0.211172542
170	0.2108940135
171	0.210545425
172	0.2102066729
173	0.2098899133
174	0.2095015245
175	0.209176517
176	0.2089059779
177	0.2086793886
178	0.2083636107
179	0.2080385872
180	0.2076925595
181	0.2073773754
182	0.2070655333
183	0.2067140343
184	0.2064170915
185	0.2058994043
186	0.2056166387
187	0.2053101097
188	0.2050343495
189	0.2047609591
190	0.2043746877
191	0.2040444233
192	0.2037097685
193	0.2033769435
194	0.2031208042
195	0.2028380134
196	0.2025652769
197	0.2021888695
198	0.201927828
199	0.2015741096
200	0.2012976905
201	0.2010311265
202	0.2007540076
203	0.2005167417
204	0.2001879544
205	0.1999054522
206	0.1995756365
207	0.1992640209
208	0.1989778459
209	0.1976708427
210	0.1972045391
211	0.1968684792
212	0.1965301031
213	0.1962112325
214	0.1959769592
215	0.1956665756
216	0.1953932588
217	0.1951344625
218	0.1948668203
219	0.1946305559
220	0.1944142835
221	0.1941787415
222	0.1938996639
223	0.1935793744
224	0.1933047237
225	0.1929877823
226	0.1926821673
227	0.1923739279
228	0.1921889866
229	0.1919633747
230	0.1917357872
231	0.1915210716
232	0.1913384318
233	0.1910263037
234	0.1907424414
235	0.190493219
236	0.1901544911
237	0.1899562603
238	0.1895871164
239	0.1893336373
240	0.1890286734
241	0.1883804607
242	0.1881107948
243	0.1878695675
244	0.1876614993
245	0.1873898758
246	0.187152423
247	0.1868743281
248	0.1866360135
249	0.1863190138
250	0.1860877353
251	0.1857976131
252	0.1855341361
253	0.1852867667
254	0.1850371483
255	0.1847960309
256	0.1845517018
257	0.1843007088
258	0.184060099
259	0.1838164158
260	0.1835584742
261	0.18330516
262	0.183083615
263	0.1828452396
264	0.1825600447
265	0.1823639495
266	0.1821293224
267	0.1818878746
268	0.1816396594
269	0.181329768
270	0.181013714
271	0.1808051284
272	0.1806909947
273	0.1805239104
274	0.1803273529
275	0.1800978626
276	0.1798812326
277	0.1796767607
278	0.1793857408
279	0.1790078347
280	0.1787590217
281	0.1785281042
282	0.178349763
283	0.178131895
284	0.1778716302
285	0.1775142498
286	0.1773469083
287	0.1771375414
288	0.1769495209
289	0.176708541
290	0.1764866013
291	0.1763045917
292	0.1760920436
293	0.1759128089
294	0.1757358373
