iter	Passed	Remaining
303	17862	40896
304	17940	40881
305	18005	40835
306	18066	40780
307	18132	40739
308	18197	40694
309	18275	40677
310	18327	40603
311	18380	40532
312	18471	40541
313	18528	40479
314	18609	40467
315	18675	40424
316	18768	40437
317	18824	40371
318	18908	40366
319	18969	40310
320	19029	40252
321	19080	40176
322	19134	40104
323	19192	40043
324	19244	39968
325	19304	39912
326	19362	39850
327	19427	39803
328	19490	39750
329	19546	39685
330	19599	39614
331	19658	39553
332	19713	39485
333	19777	39437
334	19841	39386
335	19900	39327
336	19968	39285
337	20016	39203
338	20089	39170
339	20137	39089
340	20202	39042
341	20258	38976
342	20320	38923
343	20382	38868
344	20442	38810
345	20498	38745
346	20557	38686
347	20616	38627
348	20678	38571
349	20740	38518
350	20802	38464
351	20851	38386
352	20903	38312
353	20978	38283
354	21048	38242
355	21103	38176
356	21156	38105
357	21215	38045
358	21270	37979
359	21337	37933
360	21391	37865
361	21450	37805
362	21507	37741
363	21564	37679
364	21637	37643
365	21701	37592
366	21774	37556
367	21825	37482
368	21893	37438
369	21956	37384
370	22049	37382
371	22104	37316
372	22194	37308
373	22267	37270
374	22327	37212
375	22379	37139
376	22433	37071
377	22492	37011
378	22544	36940
379	22608	36887
380	22659	36814
381	22724	36763
382	22776	36692
383	22845	36647
384	22908	36594
385	22977	36549
386	23028	36476
387	23091	36423
388	23140	36347
389	23189	36270
390	23248	36211
391	23300	36140
392	23369	36095
393	23429	36036
394	23489	35978
395	23548	35917
396	23620	35876
397	23680	35817
398	23737	35755
399	23785	35678
400	23839	35610
401	23898	35550
402	23954	35485
403	24019	35434
404	24085	35385
405	24144	35324
406	24211	35275
407	24260	35202
408	24325	35149
409	24390	35098
410	24474	35074
411	24524	35001
412	24581	34937
413	24638	34874
414	24696	34813
415	24767	34769
416	24832	34717
417	24883	34646
418	24952	34599
419	25010	34538
420	25058	34462
421	25112	34395
422	25158	34317
423	25218	34259
424	25269	34187
425	25348	34155
426	25417	34108
427	25487	34063
428	25555	34014
429	25632	33977
430	25688	33913
431	25750	33857
432	25808	33795
433	25857	33722
434	25927	33675
435	25985	33614
436	26064	33579
437	26126	33523
438	26182	33459
439	26234	33389
440	26297	33333
441	26355	33272
442	26420	33219
443	26474	33153
444	26541	33102
445	26599	33040
446	26677	33003
447	26734	32940
448	26790	32876
449	26868	32838
450	26934	32787
451	27004	32740
452	27056	32670
453	27117	32612
454	27171	32545
455	27236	32492
456	27285	32420
457	27350	32366
458	27409	32305
459	27485	32265
460	27566	32230
461	27661	32211
462	27730	32162
463	27814	32130
464	27896	32096
465	27992	32077
466	28057	32023
467	28112	31956
468	28182	31908
469	28239	31844
470	28299	31784
471	28361	31726
472	28414	31658
473	28476	31600
474	28567	31574
475	28644	31533
476	28727	31498
477	28830	31484
478	28910	31444
479	28985	31401
480	29049	31344
481	29105	31278
482	29168	31221
483	29222	31154
484	29296	31108
485	29383	31076
486	29441	31013
487	29499	30950
488	29560	30890
489	29617	30826
490	29667	30755
491	29732	30699
492	29786	30631
493	29834	30559
494	29899	30503
495	29956	30439
496	30020	30382
497	30064	30306
498	30115	30235
499	30185	30185
500	30247	30126
501	30314	30073
502	30365	30003
503	30415	29933
504	30476	29872
505	30527	29803
506	30587	29742
507	30632	29667
508	30682	29597
509	30739	29534
510	30793	29467
511	30851	29405
512	30905	29339
513	30965	29278
514	31023	29215
515	31096	29168
516	31143	29095
517	31204	29035
518	31259	28971
519	31321	28911
520	31368	28839
521	31423	28774
522	31484	28715
523	31551	28660
524	31601	28592
525	31668	28537
526	31714	28465
527	31777	28406
528	31832	28342
529	31887	28277
530	31941	28211
531	32000	28151
532	32080	28108
533	32150	28056
534	32227	28010
535	32281	27945
536	32345	27887
537	32394	27818
538	32461	27764
539	32578	27751
540	32646	27698
541	32703	27635
542	32762	27573
543	32828	27518
544	32880	27450
545	32942	27391
546	32992	27322
547	33041	27253
548	33100	27192
549	33148	27121
550	33198	27053
551	33260	26994
552	33330	26941
553	33386	26877
554	33442	26814
555	33501	26753
556	33559	26691
557	33609	26622
558	33662	26556
559	33716	26491
560	33771	26427
561	33831	26367
562	33888	26304
563	33962	26254
564	34013	26187
565	34085	26135
566	34152	26081
567	34217	26024
568	34274	25961
569	34332	25899
570	34384	25833
571	34450	25777
572	34507	25715
573	34579	25663
574	34651	25611
575	34700	25543
576	34761	25483
577	34818	25421
578	34869	25354
579	34927	25292
580	34975	25223
581	35037	25164
582	35084	25094
583	35139	25031
584	35191	24965
585	35254	24906
586	35314	24846
587	35390	24797
588	35453	24738
589	35521	24684
590	35576	24620
591	35630	24556
592	35690	24495
593	35741	24429
594	35798	24367
595	35853	24303
596	35908	24239
597	35968	24179
598	36035	24123
599	36093	24062
600	36145	23996
601	36208	23938
602	36271	23879
603	36332	23820
604	36391	23759
605	36449	23698
606	36508	23637
607	36575	23581
608	36634	23520
609	36693	23459
610	36745	23394
611	36803	23332
612	36866	23274
613	36946	23227
614	36995	23159
615	37048	23095
616	37110	23036
617	37163	22971
618	37228	22914
619	37304	22863
620	37368	22806
621	37424	22743
622	37481	22681
623	37546	22624
624	37604	22562
625	37664	22502
626	37720	22439
627	37786	22383
628	37846	22322
629	37901	22259
630	37968	22203
631	38019	22137
632	38095	22087
633	38160	22029
634	38213	21965
635	38268	21901
636	38336	21846
637	38385	21780
638	38459	21727
639	38517	21666
640	38602	21620
641	38680	21569
642	38744	21511
643	38811	21454
644	38892	21405
645	38954	21346
646	39023	21290
647	39104	21242
648	39166	21182
649	39230	21124
650	39287	21062
651	39347	21001
652	39401	20937
653	39456	20874
654	39526	20819
655	39578	20754
656	39641	20695
657	39717	20643
658	39787	20588
659	39841	20524
660	39898	20462
661	39965	20405
662	40020	20342
663	40083	20283
664	40136	20219
665	40200	20160
666	40267	20103
667	40333	20046
668	40424	20000
669	40491	19943
670	40555	19884
671	40608	19820
672	40675	19763
673	40731	19700
674	40799	19644
675	40851	19579
676	40913	19519
677	40962	19454
678	41015	19390
679	41090	19336
680	41152	19276
681	41223	19221
682	41294	19166
683	41354	19105
684	41416	19045
685	41465	18980
686	41534	18923
687	41586	18859
688	41646	18798
689	41706	18737
690	41762	18675
691	41827	18617
692	41887	18556
693	41970	18505
694	42032	18445
695	42107	18391
696	42189	18340
697	42281	18293
698	42330	18228
699	42387	18165
700	42442	18102
701	42497	18040
702	42550	17976
703	42614	17917
704	42669	17854
705	42725	17792
706	42803	17738
707	42855	17674
708	42915	17613
709	42965	17549
710	43026	17489
711	43080	17425
712	43143	17366
713	43196	17302
714	43278	17250
715	43351	17195
716	43413	17135
717	43465	17071
718	43522	17009
719	43593	16953
720	43643	16888
721	43700	16826
722	43773	16770
723	43838	16711
724	43911	16656
725	43966	16593
726	44026	16532
727	44077	16468
728	44133	16406
729	44185	16342
730	44239	16279
731	44306	16221
732	44352	16155
733	44427	16100
734	44483	16038
735	44546	15978
736	44603	15916
737	44657	15854
738	44717	15793
739	44776	15732
740	44836	15671
741	44897	15611
742	44970	15554
743	45025	15492
744	45092	15434
745	45141	15369
746	45194	15306
747	45261	15248
748	45329	15190
749	45397	15132
750	45476	15077
751	45545	15020
752	45631	14968
753	45698	14909
754	45773	14853
755	45834	14793
756	45889	14730
757	45956	14672
758	46021	14612
759	46087	14554
760	46144	14492
761	46213	14434
762	46278	14374
763	46352	14318
764	46409	14256
765	46483	14199
766	46552	14141
767	46656	14094
768	46721	14034
769	46794	13977
770	46860	13918
771	46928	13859
772	46990	13799
773	47046	13737
774	47113	13678
775	47165	13614
776	47226	13554
777	47286	13493
778	47345	13431
779	47416	13373
780	47471	13311
781	47548	13255
782	47609	13194
783	47681	13136
784	47753	13078
785	47823	13020
786	47886	12960
787	47943	12898
788	48026	12843
789	48082	12781
790	48152	12722
791	48204	12659
792	48266	12599
793	48323	12537
794	48374	12473
795	48517	12434
796	48605	12380
797	48672	12320
798	48732	12259
799	48812	12203
800	48877	12143
801	48962	12088
802	49029	12028
803	49098	11969
804	49173	11911
805	49240	11851
806	49301	11790
807	49368	11731
808	49421	11668
809	49489	11608
810	49542	11545
811	49607	11485
812	49658	11422
813	49726	11362
814	49808	11306
815	49891	11250
816	49966	11192
817	50033	11132
818	50084	11068
819	50150	11008
820	50204	10945
821	50289	10890
822	50355	10829
823	50428	10771
824	50479	10707
825	50547	10648
826	50599	10584
827	50666	10524
828	50730	10464
829	50800	10404
830	50859	10343
831	50936	10285
832	50990	10222
833	51057	10162
834	51113	10100
835	51191	10042
836	51279	9986
837	51355	9927
838	51418	9866
839	51485	9806
840	51555	9747
841	51615	9685
842	51663	9621
843	51726	9560
844	51787	9499
845	51861	9440
846	51941	9382
847	52035	9327
848	52126	9271
849	52258	9222
850	52329	9162
851	52442	9109
852	52544	9055
853	52650	9001
854	52758	8947
855	52860	8892
856	52957	8836
857	53055	8780
858	53141	8722
859	53312	8678
860	53452	8629
861	53539	8571
862	53635	8514
863	53724	8456
864	53816	8399
865	53907	8341
866	54012	8285
867	54085	8224
868	54239	8176
869	54504	8144
870	54779	8113
871	55076	8084
872	55267	8040
873	55607	8016
874	55847	7978
875	56105	7941
876	56314	7898
877	56495	7850
878	56733	7809
879	56981	7770
880	57310	7741
881	57610	7707
882	57883	7669
883	58136	7628
884	58491	7600
885	58694	7552
886	58933	7507
887	59274	7476
888	59534	7433
889	59744	7384
890	59987	7338
891	60253	7295
892	60497	7248
893	60719	7199
894	60983	7154
895	61196	7103
896	61453	7056
897	61685	7006
898	61987	6964
899	62316	6924
900	62634	6882
901	62920	6836
902	63195	6788
903	63395	6732
904	63699	6686
905	63941	6634
906	64186	6581
907	64423	6527
908	64696	6476
909	64870	6415
910	65127	6362
911	65374	6308
912	65657	6256
913	65952	6205
914	66180	6147
915	66471	6095
916	66732	6040
917	67046	5988
918	67277	5929
919	67511	5870
920	67747	5811
921	67978	5750
922	68184	5688
923	68416	5627
924	68666	5567
925	68928	5508
926	69137	5444
927	69422	5386
928	69689	5326
929	70014	5269
930	70323	5211
931	70644	5154
932	70937	5094
933	71160	5028
934	71380	4962
935	71657	4899
936	71945	4837
937	72261	4776
938	72543	4712
939	72777	4645
940	73037	4579
941	73396	4519
942	73745	4457
943	74222	4403
944	74464	4333
945	74726	4265
946	74948	4194
947	75156	4122
948	75447	4054
949	75718	3985
950	75908	3911
951	76139	3838
952	76390	3767
953	76695	3698
954	76961	3626
955	77265	3556
956	77628	3488
957	77919	3416
958	78206	3343
959	78484	3270
960	78807	3198
961	79091	3124
962	79385	3050
963	79659	2974
964	79920	2898
965	80171	2821
966	80405	2743
967	80634	2665
968	80928	2589
969	81185	2510
970	81412	2431
971	81787	2356
972	82057	2277
973	82318	2197
974	82631	2118
975	82874	2037
976	83188	1958
977	83408	1876
978	83610	1793
979	83881	1711
980	84105	1628
981	84459	1548
982	84762	1465
983	85072	1383
984	85352	1299
985	85688	1216
986	85949	1132
987	86200	1046
988	86510	962
989	86835	877
990	87087	790
991	87341	704
992	87644	617
993	87849	530
994	88103	442
995	88358	354
996	88600	266
997	88811	177
998	89035	89
999	89364	0
